,Prior L2 0.0,0,0.0612244897959184,0.122448979591837,0.183673469387755,0.244897959183674,0.306122448979592,0.36734693877551,0.428571428571429,0.489795918367347,0.551020408163265,0.612244897959184,0.673469387755102,0.73469387755102,0.795918367346939,0.857142857142857,0.918367346938776,0.979591836734694,1.04081632653061,1.10204081632653,1.16326530612245,1.22448979591837,1.28571428571429,1.3469387755102,1.40816326530612,1.46938775510204,1.53061224489796,1.59183673469388,1.6530612244898,1.71428571428571,1.77551020408163,1.83673469387755,1.89795918367347,1.95918367346939,2.02040816326531,2.08163265306123,2.14285714285714,2.20408163265306,2.26530612244898,2.3265306122449,2.38775510204082,2.44897959183674,2.51020408163265,2.57142857142857,2.63265306122449,2.69387755102041,2.75510204081633,2.81632653061225,2.87755102040816,2.93877551020408,3,Type
MSCI Asia ex Japan,0.0600470985028006,0.0279482597380864,0.0127923975954422,0.0112465268474959,0.0110001777440197,0.0115452347643867,0.0124565599502284,0.0139093489873664,0.015895512863549,0.0186220748134566,0.0226874018556109,0.0293954389809226,0.0394120638175324,0.0476263921842466,0.0522892838204402,0.0552489499749132,0.057189674234384,0.0584008020371928,0.0594239544058261,0.0602761785369114,0.0606505789545057,0.0610704041242134,0.0614065487754338,0.0616805405265111,0.0619077641706155,0.0621017477710373,0.0622673856051383,0.0624115727223533,0.0625397187255075,0.0626603061096491,0.0627671647929046,0.0628655650857183,0.0629559002688663,0.0630372568856169,0.0631087726102339,0.0631682551576483,0.0632165131775725,0.0632557932487979,0.0632752247523025,0.0632884549739351,0.0632937399563427,0.0632883592308554,0.063280575911328,0.063269003987202,0.0632511140862673,0.0632296547295426,0.0632083561430345,0.0631811852184228,0.0631506085087194,0.0631200354822583,0.0630891180287055,Posterior
MSCI CH,0.00884639909627503,0.0411519371916316,0.0135688178907047,0.0107635024582204,0.00983730046731693,0.00976669403067652,0.0100370792170818,0.0106821678475758,0.0116511539188889,0.0130915966862089,0.0152956048043589,0.0190449669003654,0.024593280408452,0.0284333799928497,0.0300747799166677,0.0306450468622156,0.0306311121967099,0.0303949323208741,0.02998202937328,0.0293211993199139,0.0289038145976788,0.0283271791882271,0.0277550553665082,0.0271962433963764,0.0266558933179121,0.0261378183243196,0.0256418972784291,0.0251688292657026,0.0247186795328526,0.0242927318137249,0.0238866372978877,0.0235006805664673,0.023133374789387,0.0227829013006676,0.0224476214399592,0.0221255673713587,0.0218159601790384,0.0215185873376462,0.0212288772726877,0.0209506496217976,0.0206825181730056,0.0204228797035412,0.0201737322019997,0.0199339636927533,0.0197021777613346,0.0194786854746541,0.0192641037825274,0.0190560970992196,0.0188549789833754,0.0186613424774128,0.0184746748760909,Posterior
MSCI EMEA,0.00720948270721343,-0.0111800614884889,-0.00566089366014815,-0.00504553058125331,-0.00490531279994579,-0.00505205256795734,-0.00529977204041492,-0.00571064944914906,-0.00624577333283838,-0.00699777542058427,-0.00811362765786711,-0.00998231883358595,-0.0126924900720474,-0.0144241791460011,-0.0149723500745044,-0.0149313328102377,-0.0145802586059445,-0.0140768825340634,-0.0135199957778756,-0.0128899134886592,-0.0123616373668091,-0.0117596650922662,-0.0111729766862593,-0.0106061421981259,-0.0100615638598302,-0.00954063189347187,-0.00904295517297021,-0.00856827343092124,-0.0081159707479167,-0.00768572377982444,-0.00727537313307388,-0.00688427550786995,-0.00651124257837151,-0.00615504372611351,-0.00581456008974612,-0.00548865754111416,-0.00517656090840097,-0.00487765887056268,-0.00459040326603862,-0.00431516724200972,-0.00405115122393298,-0.0037975786161296,-0.00355437234590907,-0.00332087248633034,-0.00309642193298792,-0.0028806778142555,-0.00267333672533564,-0.00247369853812981,-0.00228147628640388,-0.00209640899708235,-0.00191811057117098,Posterior
MSCI Europe Ex UK Ex CH,0.0496316705939477,0.0118886494916625,0.00411215876369623,0.00456570874730707,0.00529863060319194,0.00626928059449741,0.00738956983944254,0.00880836084089285,0.0105528268521455,0.0128821226403514,0.0161993782332131,0.0215281379619268,0.0294599782815303,0.0361047699556248,0.0401423999794468,0.0428831919110833,0.0447993391459723,0.0461665665350617,0.0472690362851972,0.0481588273080078,0.0486755121357161,0.0492060744990877,0.0496446448487914,0.0500119281732086,0.0503232733472964,0.0505921510403255,0.0508246628883465,0.0510282317078338,0.0512088097260138,0.0513746455115341,0.0515217991800778,0.0516555365995833,0.0517769876800521,0.0518860896458783,0.0519827249911677,0.0520655952226769,0.0521357992926794,0.0521955715155337,0.0522362675372679,0.0522694371830074,0.0522938963725674,0.0523076191436037,0.052317631743905,0.0523229655431832,0.0523216840454042,0.0523161958197856,0.0523097101706383,0.052297344897308,0.0522812365527173,0.052264293374122,0.0522463069492013,Posterior
MSCI Japan,0.0258748344936105,0.0233477670288037,0.012370253087422,0.0114718677324875,0.0115096546120644,0.0121647715043566,0.0130551940660314,0.0144173123167416,0.0162026552863432,0.018620714794905,0.0222088779796499,0.0281437983469048,0.0368951970880512,0.0435789916255382,0.0468231156898299,0.0484363250872194,0.0491206683623456,0.0491691524855729,0.049085051750797,0.0489075358280639,0.0483955184150126,0.0479275798969755,0.0474323269402153,0.0469268709424053,0.0464223922714275,0.0459278770806547,0.0454454311694025,0.0449784558411748,0.0445291343341931,0.044101727616145,0.0436901676364407,0.0432965762439322,0.0429197206038418,0.0425575940458602,0.0422083592357553,0.0418694215998885,0.041540294344309,0.0412214954538418,0.0409050876555392,0.0405991503787483,0.040301754527716,0.0400104486631352,0.0397297797844435,0.0394581877310054,0.0391934783894381,0.0389367909990489,0.0386898677306748,0.0384484944369794,0.0382137214305231,0.0379871634145537,0.0377681745363248,Posterior
MSCI Latam,0.0043841868506906,-0.011099208428853,-0.00781159745473204,-0.00799162977802155,-0.00847909376760879,-0.00926601920323776,-0.0101210613902731,-0.0112934106739697,-0.012705934831923,-0.0145217271679922,-0.0171613515648457,-0.0214713429831885,-0.027718326448618,-0.032264282514505,-0.0340664472023968,-0.034571459209395,-0.0343595394621646,-0.0336229736139458,-0.0328534061129523,-0.0320676472539702,-0.0311120349976999,-0.0301361332181119,-0.0291671644838769,-0.0282178944100058,-0.0272960670715102,-0.0264071416940748,-0.0255519273681957,-0.0247316351726455,-0.0239464951132435,-0.0231976428899815,-0.0224806379507364,-0.0217954187630135,-0.0211401621707483,-0.0205127290047066,-0.0199111590374289,-0.019333232082272,-0.018777806617133,-0.0182442220428507,-0.0177281608217092,-0.0172324173840281,-0.0167553565149853,-0.0162952302540888,-0.01585318832734,-0.0154278733404565,-0.0150177627939665,-0.0146226803004414,-0.0142426615493535,-0.0138755698476665,-0.013521273393315,-0.0131798298692519,-0.0128505058514036,Posterior
MSCI North America,0.356112848118564,-0.0165027307104512,0.0104707921368584,0.0162269298786542,0.0212287158540038,0.0269534627513244,0.0334235669561821,0.0414487604241195,0.0513324619839529,0.0643854101026395,0.0828580732440161,0.112365274435483,0.156567913045915,0.195333644245162,0.220310501105427,0.238397955624812,0.25195302905822,0.262698671391599,0.271730368379576,0.278867338333738,0.284854664223254,0.290253218961205,0.295004573114781,0.299229985936884,0.303022176305281,0.306464838051145,0.309598470067301,0.312472147396145,0.315126460711895,0.31761652885015,0.319922267927305,0.322080164295924,0.324101023996362,0.32598789705821,0.327743180795493,0.329361503864937,0.33085237713175,0.33223239247978,0.33344867284239,0.334576803555409,0.335611292072773,0.336540989928746,0.337412853954701,0.338222449941864,0.338958879505706,0.339639235933683,0.340285832664332,0.340868301113831,0.341401773691358,0.341906443120355,0.342382136026659,Posterior
MSCI UK,0.0174236928240574,-0.0296593952313316,-0.00713893830840428,-0.0048839285975588,-0.00389294321267849,-0.00337098367945813,-0.00299523080902575,-0.00274370980009479,-0.00254905086258135,-0.0023832673710552,-0.00227400815532956,-0.00222616071785967,-0.0021173598765348,-0.0015982757839089,-0.000896996608523272,-0.000123842834964449,0.000632356510380628,0.00155368703996844,0.0022854449429854,0.00266104560895611,0.00356051109862191,0.00414451008714476,0.00468751921857247,0.0051930804884445,0.00566458466439602,0.00610540509437657,0.00651809660938843,0.00690529647420858,0.00726939777903459,0.00761307138202711,0.00793711332746229,0.00824353062281804,0.00853361592464922,0.00880835552499588,0.00906861248341004,0.00931494110454704,0.00954823218823898,0.00976953449435175,0.00997779256651056,0.0101756972450656,0.0103635374906729,0.0105413687408414,0.0107110334938177,0.0108727629797701,0.0110265385046137,0.0111732149760074,0.0113138186883355,0.0114476134771927,0.011575342672584,0.0116979216807583,0.0118155694205887,Posterior
Small Cap CH,0.0027136357873315,0.00367977576514053,0.00574836935919184,0.00556901514283138,0.00555465262306301,0.005772284851289,0.00608181885648575,0.00657868413875563,0.0072447881162166,0.00818081391874177,0.0095835326248131,0.0119347308253888,0.015382765596088,0.0177887039271149,0.0187878528486897,0.0191026237686169,0.0190464625129044,0.0187782937862599,0.0184466524851591,0.0180588196861239,0.0176390620521883,0.0172087213636646,0.0167830582564306,0.0163678515420948,0.0159664726090851,0.0155813421125897,0.0152124260237756,0.014860120417846,0.0145243942625924,0.014205893769089,0.013901947010662,0.0136125930602283,0.0133368328584491,0.0130734794865549,0.0128214599745433,0.0125795269293996,0.0123471203740765,0.0121240007872394,0.0119074875404724,0.0116996280206776,0.0114995366813936,0.0113062202394038,0.0111206869250936,0.0109422190571349,0.0107699552372813,0.0106039765661087,0.0104445301116468,0.010290262087613,0.0101412670382889,0.00999778751323497,0.00985947205495143,Posterior
